topo,length,num_sources,num_dest,eval_time,snap_time,total_time
7018,10,2,2,0.4708573818206787,0.4093821048736572,0.8802394866943359
7018,11,2,2,0.4209330081939697,0.41240477561950684,0.8333377838134766
7018,10,2,2,0.5780112743377686,0.4177212715148926,0.9957325458526611
7018,10,2,2,0.6040511131286621,0.416964054107666,1.0210151672363281
7018,9,2,2,0.41677141189575195,0.40949440002441406,0.826265811920166
7018,7,2,2,0.6115143299102783,0.5627198219299316,1.17423415184021
7018,9,2,2,0.43325233459472656,0.42443180084228516,0.8576841354370117
7018,9,2,2,0.4298512935638428,0.4122171401977539,0.8420684337615967
7018,13,2,2,0.4109063148498535,0.4039328098297119,0.8148391246795654
7018,12,2,2,0.5901584625244141,0.46619200706481934,1.0563504695892334
7018,10,4,4,1.2102746963500977,0.4054865837097168,1.6157612800598145
7018,10,4,4,0.9051549434661865,0.403118371963501,1.3082733154296875
7018,10,4,4,1.048144817352295,0.42345547676086426,1.4716002941131592
7018,9,4,4,1.1026475429534912,0.5842685699462891,1.6869161128997803
7018,9,4,4,1.257854700088501,0.4230372905731201,1.680891990661621
7018,7,4,4,0.873028039932251,0.4263014793395996,1.2993295192718506
7018,9,4,4,1.0792889595031738,0.4218149185180664,1.5011038780212402
7018,9,4,4,1.0216248035430908,0.4321627616882324,1.4537875652313232
7018,12,4,4,1.046705961227417,0.4275245666503906,1.4742305278778076
7018,8,4,4,0.9475505352020264,0.41012001037597656,1.357670545578003
7018,9,8,8,2.0470664501190186,0.4103541374206543,2.457420587539673
7018,13,8,8,2.0432515144348145,0.6736700534820557,2.71692156791687
7018,11,8,8,2.036802053451538,0.4211564064025879,2.457958459854126
7018,11,8,8,1.7906482219696045,0.4227914810180664,2.213439702987671
7018,9,8,8,1.963665246963501,0.6561784744262695,2.6198437213897705
7018,8,8,8,1.8575036525726318,0.42720794677734375,2.2847115993499756
7018,9,8,8,2.276477813720703,0.4174201488494873,2.6938979625701904
7018,12,8,8,2.079214334487915,0.6451592445373535,2.7243735790252686
7018,9,8,8,1.6942133903503418,0.4253697395324707,2.1195831298828125
7018,10,8,8,1.9067692756652832,0.4193861484527588,2.326155424118042
7018,9,16,16,4.50119686126709,0.6737823486328125,5.174979209899902
7018,10,16,16,4.447116136550903,0.6695003509521484,5.116616487503052
7018,9,16,16,4.323039293289185,0.675595760345459,4.9986350536346436
7018,8,16,16,4.169055938720703,0.6599140167236328,4.828969955444336
7018,8,16,16,3.807173490524292,0.6633315086364746,4.470504999160767
7018,9,16,16,4.19605565071106,0.42809295654296875,4.624148607254028
7018,10,16,16,4.3465375900268555,0.6967692375183105,5.043306827545166
7018,11,16,16,3.9940426349639893,0.6654891967773438,4.659531831741333
7018,10,16,16,4.484581470489502,0.6761994361877441,5.160780906677246
7018,9,16,16,4.567879676818848,0.8160889148712158,5.3839685916900635
7018,9,32,32,10.392339706420898,1.0349347591400146,11.427274465560913
7018,7,32,32,10.866561651229858,1.027118444442749,11.893680095672607
7018,10,32,32,10.714190483093262,0.6893658638000488,11.40355634689331
7018,12,32,32,11.896225690841675,1.0166447162628174,12.912870407104492
7018,9,32,32,11.284140825271606,0.6756556034088135,11.95979642868042
7018,9,32,32,10.972819089889526,0.6763348579406738,11.6491539478302
7018,11,32,32,10.951910734176636,1.1309847831726074,12.082895517349243
7018,9,32,32,10.742470264434814,0.6837053298950195,11.426175594329834
7018,9,32,32,10.675802946090698,0.6807372570037842,11.356540203094482
7018,10,32,32,11.939759254455566,0.684281587600708,12.624040842056274
7018,10,64,64,26.158508777618408,1.597043752670288,27.755552530288696
7018,10,64,64,26.396726608276367,1.2330272197723389,27.629753828048706
7018,11,64,64,26.37797212600708,1.0747337341308594,27.45270586013794
7018,10,64,64,26.169383764266968,1.071523904800415,27.240907669067383
7018,12,64,64,26.901450872421265,1.5996248722076416,28.501075744628906
7018,11,64,64,26.684142589569092,1.0853590965270996,27.76950168609619
7018,10,64,64,26.168723106384277,1.0735301971435547,27.242253303527832
7018,10,64,64,26.003165006637573,1.0823311805725098,27.085496187210083
7018,9,64,64,25.566454648971558,1.231325387954712,26.79778003692627
7018,9,64,64,26.18732738494873,1.2438068389892578,27.43113422393799
7018,6,128,128,83.19493007659912,2.431572437286377,85.6265025138855
7018,11,128,128,86.79244136810303,2.437373638153076,89.2298150062561
7018,9,128,128,84.99192142486572,2.4166758060455322,87.40859723091125
7018,11,128,128,83.63853359222412,2.6182854175567627,86.25681900978088
7018,6,128,128,81.5023353099823,1.9286587238311768,83.43099403381348
7018,9,128,128,85.93802070617676,1.671854019165039,87.6098747253418
7018,9,128,128,85.33048343658447,1.6918590068817139,87.02234244346619
7018,6,128,128,82.62824392318726,1.8308463096618652,84.45909023284912
7018,10,128,128,86.56633257865906,2.4433302879333496,89.00966286659241
7018,10,128,128,86.43817281723022,1.6673824787139893,88.10555529594421
