sources,destinations,num_runs,avg_eval_time,avg_snap_time,avg_total_time
2,2,10,0.49663069248199465,0.4335460186004639,0.9301767110824586
4,4,10,1.049227499961853,0.43572900295257566,1.4849565029144287
8,8,10,1.9695611953735352,0.4918693780899048,2.46143057346344
16,16,10,4.283667874336243,0.662476372718811,4.946144247055054
32,32,10,11.043622064590455,0.8299763202667236,11.873598384857178
64,64,10,26.261385488510133,1.2292306184768678,27.490616106987
128,128,10,84.7021415233612,2.1137838125228883,86.81592533588409
