len(path) ans count_application gen_z check_applicable operation_time query_answer check_answer
10 True 5 20.9148 5.2063 4.0138 1725.7576 0.0348
10 True 5 20.0057 5.1296 3.9492 1715.7354 0.0322
10 True 5 4.1649 5.2443 3.8733 1711.2203 0.0517
10 True 5 5.0135 3.8974 2.9039 1433.3689 0.0336
10 True 5 3.2208 5.0900 3.9558 1448.1409 0.0324
10 True 5 10.9916 5.1370 4.0212 1455.3359 0.0305
10 True 5 3.3309 5.1527 3.9153 1446.7092 0.0341
10 True 5 13.4358 5.1117 4.2241 1455.6971 0.0336
10 True 5 12.5432 5.0957 4.0250 1458.7767 0.0291
10 True 5 5.7480 5.2235 4.0846 1487.7529 0.0291
10 True 5 23.1595 5.1935 4.1707 1468.8032 0.0288
10 True 5 16.1881 4.0407 3.1731 1452.5359 0.0291
10 True 5 5.1901 4.0078 3.0222 1449.6949 0.0296
10 True 5 20.6797 5.1525 4.0338 1460.1257 0.0284
10 True 5 3.4122 4.0946 3.0611 1430.2111 0.0319
10 True 5 3.7930 2.6898 2.3611 1407.8903 0.0291
10 True 5 3.4792 3.5374 2.8200 1423.1713 0.0291
10 True 5 3.8147 5.0457 4.1752 1508.8935 0.0288
10 True 5 3.5694 4.0011 2.9356 1475.1928 0.0310
10 True 5 13.3305 5.0478 3.8524 1469.3661 0.0284
