len(path) ans count_application gen_z check_applicable operation_time query_answer check_answer
10 True 5 18.8315 3.5298 2.6021 1491.0674 0.0319
10 True 5 7.1108 5.1866 4.0617 1474.6304 0.0370
10 True 5 5.2660 3.0951 2.3108 1437.1614 0.0341
10 True 5 8.8189 5.0418 4.1800 1457.5939 0.0272
10 True 5 3.8347 5.2238 3.5756 1457.3956 0.0288
10 True 5 3.8486 5.0824 4.0107 1490.1602 0.0331
10 True 5 3.5560 4.9107 3.9725 1449.7318 0.0284
10 True 5 8.8909 3.0482 2.3022 1418.3743 0.0339
10 True 5 7.8712 4.8218 4.1168 1452.9817 0.0279
10 True 5 3.4792 5.0974 4.1595 1453.7549 0.0336
10 True 5 3.3951 4.9975 3.7577 1459.5675 0.0286
10 True 5 12.7132 3.9008 3.0897 1452.4791 0.0274
10 True 5 8.9583 3.7835 2.9871 1445.8725 0.0319
10 True 5 16.9108 5.1394 3.8044 1455.7753 0.0327
10 True 5 3.7544 5.0418 3.7279 1452.2276 0.0274
10 True 5 4.8215 3.7646 2.8794 1453.4616 0.0286
10 True 5 21.8902 3.8400 3.0701 1467.9139 0.0277
10 True 5 6.2532 4.9317 3.8979 1464.2346 0.0334
10 True 5 3.2189 3.8612 3.1309 1459.3980 0.0317
10 True 5 10.2987 4.8556 3.2487 1467.4180 0.0319
