len(path) ans count_application gen_z check_applicable operation_time query_answer check_answer
10 True 5 10.2975 3.8397 3.0172 1449.5647 0.0279
10 True 5 3.4864 4.0593 3.0713 1448.4646 0.0331
10 True 5 5.2564 4.8301 3.2465 1449.4567 0.0317
10 True 5 17.3852 3.4740 1.7827 1410.0757 0.0334
10 True 5 17.6485 5.3084 4.2527 1446.6755 0.0274
10 True 5 4.2093 3.8114 3.2957 1437.9671 0.0331
10 True 5 4.5600 4.1320 3.1095 1450.5079 0.0281
10 True 5 5.4936 4.6988 4.0760 1453.9747 0.0281
10 True 5 10.8099 5.1827 4.2102 1447.8536 0.0288
10 True 5 20.3269 3.8757 3.1390 1442.5635 0.0308
10 True 5 3.4440 5.1174 3.8199 1450.6700 0.0274
10 True 5 3.5083 4.5009 3.5710 1462.3780 0.0324
10 True 5 5.1436 5.0886 4.0660 1456.3031 0.0329
10 True 5 8.1036 5.2087 4.0071 1450.8290 0.0324
10 True 5 10.1047 4.9322 4.1034 1460.7325 0.0319
10 True 5 3.6087 2.9063 2.3782 1419.1947 0.0410
10 True 5 3.6654 5.2383 3.9201 1455.3380 0.0329
10 True 5 16.8979 3.9001 3.0694 1449.9452 0.0281
10 True 5 19.3861 5.1608 4.0617 1453.1970 0.0355
10 True 5 3.5217 3.9735 2.9085 1467.6158 0.0339
