len(path) ans count_application gen_z check_applicable operation_time query_answer check_answer
10 True 5 7.8464 5.1875 3.8447 1716.5956 0.0293
10 True 5 7.3218 5.0585 3.8986 1713.4819 0.0272
10 True 5 3.6318 2.6562 2.2874 1714.1607 0.0303
10 True 5 9.3541 5.3470 3.6478 1717.0973 0.0279
10 True 5 12.1117 4.7884 3.9682 1714.7946 0.0286
10 True 5 11.4257 5.1501 4.1232 1718.3206 0.0296
10 True 5 4.1192 5.0852 3.8779 1725.2393 0.0303
10 True 5 3.3202 4.6282 3.5291 1715.9646 0.0319
10 True 5 10.8802 3.7205 2.9676 1707.1571 0.0298
10 True 5 3.3581 4.5660 3.4082 1715.7388 0.0286
10 True 5 20.3686 3.0682 2.1966 1669.2281 0.0288
10 True 5 10.7832 3.9291 2.9488 1696.1272 0.0310
10 True 5 7.3476 4.0755 2.9829 1694.0877 0.0305
10 True 5 18.0509 5.1899 4.0247 1713.1784 0.0288
10 True 5 3.6230 3.8161 2.7425 1689.2226 0.0324
10 True 5 3.9260 5.1024 3.7205 1710.1517 0.0334
10 True 5 3.6738 4.3976 3.4270 1704.3443 0.0308
10 True 5 3.6342 4.9772 3.7043 1672.5554 0.0412
10 True 5 3.4790 5.3289 3.8924 1709.7881 0.0339
10 True 5 3.2582 4.8258 3.7255 1704.3457 0.0327
