dependencies avg	std	item
22 37.8505      8.6751  NumPolicies2_Hosts20ReH2_Orderrandom_Unitdependency_20230209213057.log
52 97.3235      19.6869 NumPolicies8_Hosts20ReH2_Orderrandom_Unitdependency_20230209213304.log
89 167.2185        35.4765 NumPolicies15_Hosts20ReH2_Orderrandom_Unitdependency_20230209222041.log
