dependencies avg	std	item
22 30.9080 4.9962  NumPolicies2_Hosts20ReH2_Orderspecific_Unitpolicy_20230209223322.log
52 61.9890 6.6925 NumPolicies8_Hosts20ReH2_Orderspecific_Unitpolicy_20230209223449.log
89 85.5090 9.5407  NumPolicies15_Hosts20ReH2_Orderspecific_Unitpolicy_20230209223653.log




