dependencies avg	std	item
22 16.2780	3.1725	NumPolicies2_Hosts20ReH2_Orderrandom_Unitpolicy_20230203232852.log 
52 40.2160	11.7719	NumPolicies8_Hosts20ReH2_Orderrandom_Unitpolicy_20230203232935.log 
89 59.1450	13.0614	NumPolicies15_Hosts20ReH2_Orderrandom_Unitpolicy_20230203233019.log 
