dependencies avg	std	item
22 17.4740	3.6864	NumPolicies2_Hosts20ReH2_Orderrandom_Unitdependency_20230203232902.log 
52 42.6880	13.2734	NumPolicies8_Hosts20ReH2_Orderrandom_Unitdependency_20230204001152.log  
89 65.5195	18.2789	NumPolicies15_Hosts20ReH2_Orderrandom_Unitdependency_20230203233037.log 

