len(path) ans count_application total_queries gen_z check_applicable operation_time query_answer check_answer total_time
11 True 14 1 100.8503 11.1918 9183.8789 1262.1157 0.0010 15467.0970
7 True 14 1 72.4907 8.6975 4798.4617 52.9852 0.0012 8745.5144
8 True 14 1 75.9544 6.7155 6292.3117 127.6381 0.0010 9976.4240
10 True 14 1 111.7623 7.5457 6935.8411 669.5366 0.0007 12358.0010
9 True 14 1 83.8008 19.9716 5881.4468 266.9451 0.0010 10124.0544
9 True 14 1 75.5804 11.4512 6649.2610 272.1617 0.0007 10846.1528
5 True 14 1 42.8102 10.4885 3983.7444 11.0433 0.0029 6794.7617
8 True 14 1 77.5402 6.7439 5828.2166 135.0822 0.0007 9400.4965
8 True 14 1 66.3831 11.3347 6200.0833 104.1133 0.0007 10158.7667
8 True 14 1 78.2714 30.8311 6997.1740 124.9940 0.0007 10698.9815
8 True 14 1 76.2837 11.0996 5839.2525 125.1869 0.0007 9756.5572
11 True 14 1 117.6448 27.3583 7803.4570 1251.0381 0.0010 14106.4804
7 True 14 1 74.3122 23.5927 5215.2231 68.0013 0.0017 8878.9556
8 True 14 1 103.7116 11.7538 6541.8963 111.4955 0.0010 10780.8278
9 True 14 1 45.1183 12.9881 7228.4579 249.1181 0.0012 10905.5860
9 True 14 1 81.6438 7.3314 6701.1895 261.2281 0.0007 11100.7521
8 True 14 1 79.0906 11.0798 6171.2620 128.9732 0.0007 10535.0704
7 True 14 1 35.9864 6.1455 5386.6053 69.0846 0.0017 8549.6514
2 True 14 1 39.6850 6.2618 2606.2214 1.1151 0.0019 4603.5330
4 True 14 1 55.2995 15.1567 3822.1207 3.8283 0.0029 5929.2817
