len(path) ans count_application total_queries gen_z check_applicable operation_time query_answer check_answer total_time
5 True 14 1 125.3936 15.4805 12971.4820 4.8339 0.0014 21811.9967
9 True 14 1 220.8843 52.7399 22848.4972 241.5109 0.0012 35254.8001
8 True 14 1 185.7660 22.6862 18838.3815 94.9676 0.0012 31324.2233
7 True 14 1 224.1592 19.5408 19260.0369 46.6545 0.0012 30985.8742
7 True 14 1 162.3659 64.9297 22093.3833 56.0136 0.0014 31130.6500
9 True 14 1 255.3360 49.6604 24173.3212 238.4605 0.0012 37847.5046
9 True 14 1 275.0189 28.1608 25436.4474 246.6691 0.0010 38433.1756
9 True 14 1 194.7365 43.5734 28149.3893 241.4758 0.0012 40458.3137
7 True 14 1 176.0828 56.5033 19124.4490 55.2225 0.0014 30960.0518
8 True 14 1 180.6438 45.9664 24077.2138 86.5743 0.0007 35363.4572
10 True 14 1 261.9381 26.8190 25132.9427 675.3008 0.0010 40595.9423
8 True 14 1 262.7115 21.6262 19736.4337 62.0923 0.0010 30598.7675
9 True 14 1 259.4709 24.8439 25895.0717 232.9395 0.0007 39748.2712
8 True 14 1 185.9827 34.3730 20131.1123 89.9398 0.0007 32175.7455
8 True 14 1 267.7217 46.8972 24487.0327 97.4174 0.0012 36277.8983
11 True 14 1 365.0532 58.3880 27436.5885 1232.5604 0.0010 43038.1107
7 True 14 1 268.5485 19.7034 21835.0766 48.2259 0.0010 34268.3582
9 True 14 1 229.2840 47.1587 24353.6973 238.0760 0.0010 37273.2587
12 True 14 1 317.8320 32.2442 30827.4751 4032.1202 0.0007 50558.7857
10 True 14 1 297.3068 26.7606 28423.3403 671.3681 0.0007 41310.8222
