len(path) ans count_application total_queries gen_z check_applicable operation_time query_answer check_answer total_time
9 True 14 1 2.0335 2.1842 536.1054 293.8764 0.0010 4344.9316
9 True 14 1 0.4711 1.7381 484.3023 288.4357 0.0012 4242.3115
11 True 14 1 2.5947 2.1832 538.5973 1285.5229 0.0007 5216.3146
11 True 14 1 1.7204 3.3572 589.5686 1284.1311 0.0010 5356.5242
10 True 14 1 1.4977 2.6262 557.6668 729.3713 0.0007 4749.3868
9 True 14 1 0.4857 2.8663 534.2627 291.5795 0.0007 4445.0853
10 True 14 1 1.9066 3.1996 530.9739 763.3781 0.0010 4562.7944
9 True 14 1 2.0208 2.5718 501.0083 289.2964 0.0007 4281.9927
9 True 14 1 2.0299 2.6665 646.2793 293.3059 0.0010 4366.0922
11 True 14 1 2.5549 3.1435 559.5567 1277.2572 0.0010 5426.8026
8 True 14 1 1.8144 2.6338 478.2100 134.9318 0.0010 4056.0369
7 True 14 1 1.0419 2.7659 484.2138 73.3104 0.0017 4054.2414
5 True 14 1 0.3748 2.3513 459.8522 11.1587 0.0024 3973.9249
7 True 14 1 1.6010 2.9926 498.9734 30.3352 0.0014 4015.9090
6 True 14 1 1.4653 2.1605 478.8282 31.6799 0.0033 3950.9404
10 True 14 1 0.5891 1.5376 456.0506 768.1651 0.0012 4843.3311
8 True 14 1 0.4399 2.3897 433.3405 131.2826 0.0010 4236.4147
10 True 14 1 2.2044 3.0558 530.6177 767.6733 0.0007 4843.2736
8 True 14 1 1.6377 2.0418 469.6507 132.6599 0.0007 3979.7781
7 True 14 1 1.6701 2.2876 474.0179 72.2895 0.0012 3962.9593
