len(path) ans count_application total_queries gen_z check_applicable operation_time query_answer check_answer total_time
10 True 14 1 0.1383 2.7258 385.1664 714.5305 0.0010 1392.7369
7 True 14 1 0.1063 2.6841 375.3185 75.5022 0.0012 746.3186
5 True 14 1 0.0784 2.2056 367.5358 11.0450 0.0031 638.9518
6 True 14 1 0.3569 2.6546 332.0048 31.9986 0.0033 668.1964
12 True 14 1 0.6328 2.0788 386.0490 4044.6143 0.0007 4789.7952
9 True 14 1 0.5000 2.1467 324.8506 276.5357 0.0012 929.5709
10 True 14 1 0.3455 2.7556 387.3920 712.6231 0.0007 1424.3181
11 True 14 1 0.5908 2.8782 414.6323 1278.9664 0.0007 2016.4802
9 True 14 1 0.3211 2.0981 441.7958 279.3245 0.0007 1240.7048
12 True 14 1 0.3765 2.8825 410.1591 4231.2219 0.0007 4984.4930
11 True 14 1 0.6549 2.5744 423.0194 1286.1476 0.0007 2047.9176
10 True 14 1 0.5722 2.0490 345.1815 712.0235 0.0012 1356.6260
8 True 14 1 0.4628 2.2180 395.7193 136.1237 0.0007 872.4899
11 True 14 1 0.1481 2.3518 369.7786 1288.0244 0.0010 1983.0735
7 True 14 1 0.4084 2.1956 344.0564 73.9887 0.0014 738.1463
9 True 14 1 0.4995 1.9686 380.8198 276.1874 0.0010 980.2651
7 True 14 1 0.3266 1.3068 347.2021 74.1172 0.0014 703.0048
11 True 14 1 0.6003 2.0432 400.0504 1287.4076 0.0007 2017.0012
3 True 14 1 0.2272 1.7390 337.9395 2.6062 0.0026 656.3299
3 True 14 1 0.1459 2.5294 350.0750 2.6484 0.0031 638.7181
