Percentage Pyotr Baseline
10 2.081398742200733 454.2790887841621
20 10.328016359797907 1085.1024907629949
30 30.584936446960757 1882.1059217599404
40 43.591947440924706 2798.586409127937
50 52.58509894661585 3848.073979711173
