Tables	DB	Reasoning	System
1	0.0024006554307116645	0.012273689138576413	0.014587546816479714
2	0.0025383895131086435	0.016917228464418014	0.01276914794007641
3	0.002414513108614258	0.009436001872659429	0.012588108614231932
4	0.0030328651685392997	0.008092134831460733	0.013035018726591739
5	0.004892509363295929	0.004761235955056149	0.014635720973782778
