Frequency	DB	Reasoning	System
10	0.0013176966292134783	0.017016713483146005	0.00826076779026226
15	0.0013449194113524636	0.026221864050455488	0.008344779257182936
20	0.001356558139534866	0.03231153488372093	0.007977860465116391
25	0.001397795823665888	0.04017262180974474	0.008156496519721614
