x	naive	split-merge	BDD
20 0.22774524688720704 0.1240020751953125 0.0001
40 0.7499061584472656 0.33131976127624513 0.0002
60 1.2300981521606444 0.6504105567932129 0.0003
80 1.4128485679626466 0.8753329753875733 0.0005
100 1.610186767578125 1.1255835056304933 0.0006
