x	naive	split-merge	BDD
20	0.7056012153625488 0.925100564956665 0.0461
40	2.343091344833374 2.579990816116333 0.2311
60	3.924545097351074 4.579487133026123 0.1849
80	4.5508325576782225 7.199199962615967 0.5272
100 5.307729864120484 9.840450954437255 0.5111
