(ingressAS,ASNum,egressAS)|numRulesBefore|numRulesAfter|numAtomsBefore|numAtomsAfter|numIngressNodesBefore|numIngressNodesAfter|numEgressNodesBefore|numEgressNodesAfter|numNodesBefore|numNodesAfter|numLinksBefore|numLinksAfter|minTime|eqTime|combTime|totalTime
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.1937501430511475|5.913794755935669|0.14156651496887207|8.249111413955688
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|1.8561067581176758|5.456404685974121|0.06585884094238281|7.37837028503418
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.008464813232422|6.4113287925720215|0.07529377937316895|8.495087385177612
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.4371042251586914|5.914602994918823|0.09589385986328125|8.447601079940796
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|3.0011820793151855|6.411158084869385|0.06581568717956543|9.478155851364136
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.4518206119537354|6.72611665725708|0.05314230918884277|9.231079578399658
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.0093460083007812|5.804204940795898|0.10615348815917969|7.919704437255859
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|1.9716501235961914|5.970947504043579|0.09850239753723145|8.041100025177002
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|1.8775866031646729|5.892206192016602|0.056742191314697266|7.826534986495972
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|1.8710424900054932|6.632307052612305|0.08679795265197754|8.590147495269775
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.165276050567627|6.702118873596191|0.08468174934387207|8.95207667350769
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.204149007797241|6.221555471420288|0.06508231163024902|8.490786790847778
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.340165853500366|6.371421813964844|0.13103175163269043|8.8426194190979
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|1.9787647724151611|6.016495227813721|0.13830256462097168|8.133562564849854
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.365919828414917|6.272063732147217|0.06619524955749512|8.704178810119629
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.3567042350769043|6.456789255142212|0.08934879302978516|8.902842283248901
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.3207714557647705|6.219616889953613|0.06792593002319336|8.608314275741577
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.244532823562622|6.774933815002441|0.06670546531677246|9.086172103881836
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.208413600921631|6.145185708999634|0.08262419700622559|8.43622350692749
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.2886927127838135|5.8268537521362305|0.0626516342163086|8.178198099136353
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.0476114749908447|6.278405666351318|0.19303655624389648|8.51905369758606
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.493393659591675|5.93559455871582|0.06937432289123535|8.49836254119873
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.4732606410980225|7.382688999176025|0.09277534484863281|9.94872498512268
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.7274866104125977|7.026620626449585|0.0717771053314209|9.825884342193604
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.599811553955078|6.924386978149414|0.07946300506591797|9.60366153717041
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.2910099029541016|6.677507162094116|0.07364201545715332|9.042159080505371
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.014019250869751|7.094881534576416|0.06413006782531738|9.173030853271484
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|2.8062806129455566|7.582736015319824|0.0652008056640625|10.454217433929443
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|1.6893396377563477|4.416200876235962|0.05026125907897949|6.155801773071289
(4565,7911,7018)|32|4|195|22|4|2|3|2|10|5|21|9|1.713815450668335|5.122091770172119|0.08493947982788086|6.920846700668335
