(ingressAS,ASNum,egressAS)|numRulesBefore|numRulesAfter|numAtomsBefore|numAtomsAfter|numIngressNodesBefore|numIngressNodesAfter|numEgressNodesBefore|numEgressNodesAfter|numNodesBefore|numNodesAfter|numLinksBefore|numLinksAfter|minTime|eqTime|combTime|totalTime
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.4328305721282959|0.826235294342041|0.005994558334350586|1.2650604248046875
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.4631774425506592|1.0733323097229004|0.00838017463684082|1.5448899269104004
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.4561901092529297|0.9937551021575928|0.02255845069885254|1.472503662109375
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.5669200420379639|1.0253748893737793|0.008327007293701172|1.6006219387054443
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.45592331886291504|1.1161260604858398|0.0065042972564697266|1.5785536766052246
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.6687145233154297|1.0681431293487549|0.03412222862243652|1.770979881286621
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.48773622512817383|1.206390619277954|0.037976980209350586|1.7321038246154785
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.4765646457672119|0.9232382774353027|0.011751174926757812|1.4115540981292725
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.43375492095947266|1.0423147678375244|0.029280662536621094|1.5053503513336182
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.5247924327850342|1.0370986461639404|0.03892254829406738|1.600813627243042
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.4509999752044678|0.8619081974029541|0.007344484329223633|1.3202526569366455
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.6268999576568604|1.1403658390045166|0.007463932037353516|1.7747297286987305
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.5813944339752197|1.3872859477996826|0.007039308547973633|1.975719690322876
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.39627861976623535|1.0356214046478271|0.00612950325012207|1.4380295276641846
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.45435237884521484|1.1869869232177734|0.00793600082397461|1.649275302886963
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.4262535572052002|0.8120532035827637|0.00873422622680664|1.2470409870147705
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.5575442314147949|0.9319295883178711|0.007989168167114258|1.4974629878997803
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.38382983207702637|1.1138455867767334|0.03442573547363281|1.5321011543273926
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.414074182510376|0.8949272632598877|0.005466938018798828|1.3144683837890625
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.4018571376800537|1.0234272480010986|0.006562232971191406|1.4318466186523438
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.46578073501586914|0.9931752681732178|0.008652210235595703|1.4676082134246826
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.41660308837890625|0.7438461780548096|0.011089563369750977|1.1715388298034668
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.34094858169555664|0.7827262878417969|0.008500099182128906|1.1321749687194824
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.45962977409362793|0.7440237998962402|0.010109663009643555|1.2137632369995117
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.39168691635131836|0.9430763721466064|0.017076492309570312|1.3518397808074951
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.38611483573913574|0.88897705078125|0.00930023193359375|1.2843921184539795
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.4847989082336426|0.8843352794647217|0.00553441047668457|1.3746685981750488
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.37441205978393555|0.7301793098449707|0.005860567092895508|1.1104519367218018
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.3547031879425049|0.7726199626922607|0.005958080291748047|1.1332812309265137
(4323,6939,3356)|9|2|41|9|2|2|3|1|6|3|13|5|0.38280415534973145|0.8240392208099365|0.007304668426513672|1.2141480445861816
