(ingressAS,ASNum,egressAS)|numRulesBefore|numRulesAfter|numAtomsBefore|numAtomsAfter|numIngressNodesBefore|numIngressNodesAfter|numEgressNodesBefore|numEgressNodesAfter|numNodesBefore|numNodesAfter|numLinksBefore|numLinksAfter|minTime|eqTime|combTime|totalTime
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.475507497787476|12.639743328094482|0.6874537467956543|28.802704572677612
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.403130292892456|12.535572290420532|0.6765117645263672|28.615214347839355
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|14.955601215362549|12.488306045532227|0.703498363494873|28.14740562438965
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.492686033248901|12.585721969604492|0.726423978805542|28.804831981658936
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.326113224029541|12.353443622589111|0.6790163516998291|28.35857319831848
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.435993909835815|12.770820617675781|0.6783456802368164|28.885160207748413
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.543826580047607|12.224412679672241|0.7350306510925293|28.503269910812378
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.193187236785889|12.837939262390137|0.688223123550415|28.71934962272644
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|14.931422710418701|12.30924129486084|0.7523739337921143|27.993037939071655
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.257041692733765|17.42984652519226|0.7032954692840576|33.39018368721008
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.520398378372192|12.796835660934448|0.6938948631286621|29.011128902435303
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.08536672592163|15.364311456680298|0.6915779113769531|31.141256093978882
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.84797477722168|15.676906108856201|0.681753396987915|32.206634283065796
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.975656270980835|15.696907043457031|0.6780064105987549|32.35056972503662
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.645332336425781|15.874650478363037|0.7492430210113525|32.26922583580017
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.797955751419067|15.444395065307617|0.7324821949005127|31.974833011627197
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.965607166290283|15.423471212387085|0.6787652969360352|32.0678436756134
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|16.122488021850586|15.530139207839966|0.7344632148742676|32.38709044456482
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|16.116828680038452|17.013927459716797|1.0578937530517578|34.18864989280701
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|16.512460470199585|15.837369203567505|0.6831636428833008|33.03299331665039
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.968444585800171|16.250874042510986|0.6843645572662354|32.90368318557739
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.690935373306274|16.03577733039856|0.7415130138397217|32.468225717544556
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|16.343511819839478|16.049311876296997|0.6851236820220947|33.07794737815857
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|15.98030424118042|15.732704401016235|0.6866960525512695|32.399704694747925
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|16.579461574554443|16.36893582344055|0.7228686809539795|33.671266078948975
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|16.924452543258667|18.227659225463867|1.0145931243896484|36.16670489311218
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|18.692389726638794|18.531808614730835|0.9339632987976074|38.158161640167236
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|22.26818013191223|19.174057006835938|0.7496836185455322|42.1919207572937
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|16.549224138259888|17.277223110198975|0.7227170467376709|34.54916429519653
(2548,1,3549)|50|5|376|35|3|2|7|0|16|9|35|15|17.125463485717773|16.25350856781006|0.8368115425109863|34.21578359603882
