int_faure ,Joins,Total Time (s),Data Time (s),Update Time (s),Z3 Time (s)
,12,0.093096446990967,0.057637214660645,0.011588716506958,0.023870515823364
,14,0.119357013702393,0.070423793792725,0.017851519584656,0.031081700325012
,16,0.109706902503967,0.073276233673096,0.015865302085877,0.020565366744995
,18,0.130735158920288,0.089346385002136,0.022932052612305,0.018456721305847
,20,0.161089849472046,0.107255268096924,0.025587582588196,0.028246998786926
,22,0.146932983398437,0.106019735336304,0.020445489883423,0.020467758178711
,24,0.157045316696167,0.11452009677887,0.022499561309815,0.020025658607483
,26,0.170145153999329,0.125098443031311,0.022839164733887,0.022207546234131
